Name                     Team	P	Age	AVG	OBP	SPC	AB	H	2B	3B	HR	R	RBI	HBP	BB	K	SB	CS
Nick Martini*	dh	35	0.225	0.288	0.294	102	23	4	0	1	9	4	0	9	18	0	0
Austin Nola	c	35	0.184	0.225	0.211	38	7	1	0	0	2	1	0	2	5	0	0
Jacob Stallings	c	35	0.114	0.139	0.143	35	4	1	0	0	1	3	0	1	9	0	0
Jacob Stallings	c	35	0.143	0.217	0.179	84	12	3	0	0	4	6	3	5	31	0	0
Sandy Leon#	c	36	0.083	0.083	0.333	12	1	0	0	1	1	3	0	0	4	0	0
Donovan Solano	1b	37	0.252	0.295	0.344	163	41	4	1	3	10	21	3	8	38	0	0
Donovan Solano	2b	37	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0
Carlos Santana#	1b	39	0.105	0.105	0.158	19	2	1	0	0	0	2	0	0	5	0	0
Carlos Santana#	1b	39	0.225	0.316	0.333	396	89	10	0	11	49	52	3	52	86	7	0
Yuli Gurriel	dh	41	0.111	0.2	0.139	36	4	1	0	0	2	3	0	4	8	0	0
